"Available tasks","利用可能なタスク"
"Scheduled tasks","Tarefas タスク"
"Create new job","新規ジョブを作る"
"Generate Schedule","Gerar Agendamento"
"Cron Configuration","クーロンの設定"
"Available Jobs","Jobs 利用可能な"
"Scheduled tasks","Tarefas Agendadas"
"Scheduler Timeline","タイムライン do Agendador"
"Reset overlay","Reiniciar Sobreposição"
"Job ""%s""","ジョブ ""%s"""
"New Job","新規ジョブ"
"Schedule now","Agendar agora"
"Run now","今実行する"
"Disable","無効"
"Enable","有効"
"Job code","ジョブコード"
"Name","名前"
"Short Description","短い "
"Cron expression","Expressão da クーロン"
"Run model","Processar Model"
"Parameters","Parâmetros"
"Groups","Grupos"
"Type","Tipo"
"Status","状態"
"Job","ジョブ"
"General",""
"e.g. ""aoe_scheduler/task_heartbeat::run""","Ex. ""aoe_scheduler/task_heartbeat::run"""
"Scheduling","Agendando"
"Cron configuration path","Caminho da Configuração da クーロン"
"e.g ""*/5 * * * *"" or ""always""","Ex. ""*/5 * * * *"" ou ""always"""
"Extras","Extras"
"Instructions","説明"
