"Available tasks","Tarefas Disponíveis"
"Scheduled tasks","Tarefas Agendadas"
"Create new job","Criar Novo Job"
"Generate Schedule","Gerar Agendamento"
"Cron Configuration","Configuração da Cron"
"Available Jobs","Jobs Disponíveis"
"Scheduled tasks","Tarefas Agendadas"
"Scheduler Timeline","Linha de Tempo do Agendador"
"Reset overlay","Reiniciar Sobreposição"
"Job ""%s""","Job ""%s"""
"New Job","Novo Job"
"Schedule now","Agendar agora"
"Run now","Processar agora"
"Disable","Desabilitar"
"Enable","Habilitar"
"Job code","Código do Job"
"Name","Nome"
"Short Description","Descrição Curta"
"Cron expression","Expressão da Cron"
"Run model","Processar Model"
"Parameters","Parâmetros"
"Groups","Grupos"
"Type","Tipo"
"Status","Status"
"Job","Job"
"General","Geral"
"e.g. ""aoe_scheduler/task_heartbeat::run""","Ex. ""aoe_scheduler/task_heartbeat::run"""
"Scheduling","Agendando"
"Cron configuration path","Caminho da Configuração da Cron"
"e.g ""*/5 * * * *"" or ""always""","Ex. ""*/5 * * * *"" ou ""always"""
"Extras","Extras"
"Instructions","Instruções"
